127.0.0.1, 2022-05-28 17:51:19, GET, //movies/default/call/json/, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:51:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:51:22, GET, //movies/default, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:51:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:51:25, GET, //movies/, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:51:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:51:27, GET, //, HTTP/1.1, 303, 0.000998
127.0.0.1, 2022-05-28 17:51:27, GET, /welcome/default/index, HTTP/1.1, 200, 0.017948
127.0.0.1, 2022-05-28 17:51:27, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000998
127.0.0.1, 2022-05-28 17:51:29, GET, /admin/default/index, HTTP/1.1, 303, 0.009973
127.0.0.1, 2022-05-28 17:51:29, GET, /admin/default/site, HTTP/1.1, 200, 0.027006
127.0.0.1, 2022-05-28 17:51:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2022-05-28 17:51:33, GET, /movies/default/index, HTTP/1.1, 200, 0.172562
127.0.0.1, 2022-05-28 17:51:33, GET, /movies/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.006981
127.0.0.1, 2022-05-28 17:51:33, GET, /movies/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.005984
127.0.0.1, 2022-05-28 17:51:33, GET, /movies/static/css/calendar.css, HTTP/1.1, 200, 0.005984
127.0.0.1, 2022-05-28 17:51:33, GET, /movies/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.017952
127.0.0.1, 2022-05-28 17:51:33, GET, /movies/static/js/jquery.js, HTTP/1.1, 200, 0.038895
127.0.0.1, 2022-05-28 17:51:33, GET, /movies/static/js/calendar.js, HTTP/1.1, 200, 0.023936
127.0.0.1, 2022-05-28 17:51:33, GET, /movies/static/js/web2py.js, HTTP/1.1, 200, 0.024933
127.0.0.1, 2022-05-28 17:51:33, GET, /movies/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001994
127.0.0.1, 2022-05-28 17:51:33, GET, /movies/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2022-05-28 17:51:33, GET, /movies/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.029920
127.0.0.1, 2022-05-28 17:51:33, GET, /movies/static/images/favicon.ico, HTTP/1.1, 200, 0.003989
127.0.0.1, 2022-05-28 17:51:41, GET, /movies/default/index, HTTP/1.1, 200, 0.164910
127.0.0.1, 2022-05-28 17:51:45, GET, /admin/default/index, HTTP/1.1, 303, 0.006979
127.0.0.1, 2022-05-28 17:51:45, GET, /admin/default/site, HTTP/1.1, 200, 0.023952
127.0.0.1, 2022-05-28 17:51:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:51:47, GET, /movies/default/index, HTTP/1.1, 200, 0.161645
127.0.0.1, 2022-05-28 17:51:47, GET, /movies/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2022-05-28 17:52:06, GET, /admin/default/index, HTTP/1.1, 303, 0.007978
127.0.0.1, 2022-05-28 17:52:06, GET, /admin/default/site, HTTP/1.1, 200, 0.028923
127.0.0.1, 2022-05-28 17:52:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2022-05-28 17:52:09, GET, /admin/default/design/movies, HTTP/1.1, 200, 0.075776
127.0.0.1, 2022-05-28 17:52:09, GET, /admin/static/_2.22.3/images/search.png, HTTP/1.1, 200, 0.000998
127.0.0.1, 2022-05-28 17:52:09, GET, /admin/static/_2.22.3/images/help.png, HTTP/1.1, 200, 0.000997
127.0.0.1, 2022-05-28 17:52:09, GET, /admin/static/_2.22.3/images/delete_icon.png, HTTP/1.1, 200, 0.000998
127.0.0.1, 2022-05-28 17:52:09, GET, /admin/static/_2.22.3/images/test_icon.png, HTTP/1.1, 200, 0.000997
127.0.0.1, 2022-05-28 17:52:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:52:18, GET, /movies/static/_2.22.3/test.html, HTTP/1.1, 200, 0.000998
127.0.0.1, 2022-05-28 17:52:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:52:18, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 200, 0.185563
127.0.0.1, 2022-05-28 17:52:27, GET, /movies/static/_2.22.3/test.html, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-05-28 17:52:31, GET, /admin/default/design/movies, HTTP/1.1, 200, 0.064874
127.0.0.1, 2022-05-28 17:52:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:53:16, POST, //movies/default/call/json/get_recommendations, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:53:31, POST, //movies/default/call/json/get_recommendations/, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:53:39, POST, /movies/default/call/json/get_recommendations/, HTTP/1.1, 500, 0.201543
127.0.0.1, 2022-05-28 17:53:55, POST, /movies/default/call/json/get_recommendations/, HTTP/1.1, 500, 0.193167
127.0.0.1, 2022-05-28 17:54:10, GET, /movies/default/call/json/get_recommendations/, HTTP/1.1, 500, 0.186332
127.0.0.1, 2022-05-28 17:54:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:54:14, GET, /admin/default/ticket/movies/127.0.0.1.2022-05-28.17-54-10.e154eba1-c346-4c9f-856b-5d1f93566bab, HTTP/1.1, 200, 0.076795
127.0.0.1, 2022-05-28 17:54:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:54:56, POST, /movies/default/call/json/get_recommendations/, HTTP/1.1, 200, 0.191304
127.0.0.1, 2022-05-28 17:55:29, GET, /movies/static/_2.22.3/item_similarity_df.csv, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-05-28 17:55:33, GET, /admin/default/edit/movies/static/item_similarity_df.csv, HTTP/1.1, 200, 0.069813
127.0.0.1, 2022-05-28 17:55:33, GET, /admin/static/_2.22.3/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.004986
127.0.0.1, 2022-05-28 17:55:33, GET, /admin/static/_2.22.3/codemirror/theme/twilight.css, HTTP/1.1, 200, 0.004986
127.0.0.1, 2022-05-28 17:55:33, GET, /admin/static/_2.22.3/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.003989
127.0.0.1, 2022-05-28 17:55:33, GET, /admin/static/_2.22.3/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.003989
127.0.0.1, 2022-05-28 17:55:33, GET, /admin/static/_2.22.3/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.053857
127.0.0.1, 2022-05-28 17:55:33, GET, /admin/static/_2.22.3/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.003989
127.0.0.1, 2022-05-28 17:55:33, GET, /admin/static/_2.22.3/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.004986
127.0.0.1, 2022-05-28 17:55:33, GET, /admin/static/_2.22.3/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.005985
127.0.0.1, 2022-05-28 17:55:33, GET, /admin/static/_2.22.3/css/web2py-codemirror.css, HTTP/1.1, 200, 0.007979
127.0.0.1, 2022-05-28 17:55:33, GET, /admin/static/_2.22.3/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.010970
127.0.0.1, 2022-05-28 17:55:33, GET, /admin/static/_2.22.3/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-05-28 17:55:33, GET, /admin/static/_2.22.3/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.010971
127.0.0.1, 2022-05-28 17:55:33, GET, /admin/static/_2.22.3/codemirror/keymap/sublime.js, HTTP/1.1, 200, 0.013963
127.0.0.1, 2022-05-28 17:55:33, GET, /admin/static/_2.22.3/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.009973
127.0.0.1, 2022-05-28 17:55:33, GET, /admin/static/_2.22.3/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.013963
127.0.0.1, 2022-05-28 17:55:33, GET, /admin/static/_2.22.3/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.009974
